Date,City,Lon,Lat,Station,ObsTime,StnPres,SeaPres,Temperature,Td dew point,RH,WS,WD,WSGust,WDGust,Precp,PrecpHour,SunShine,GloblRad,Visb,UVI,Cloud Amount
2022-03-01,宜蘭縣,121.857372,24.596736,467060,1,1013.6,1016.7,17.6,17.0,96,2.8,260,4.8,260,0.0,0.0,...,0.0,...,...,...
2022-03-01,宜蘭縣,121.857372,24.596736,467060,2,1013.3,1016.4,17.6,17.0,96,3.0,250,5.3,250,0.0,0.0,...,0.0,...,...,...
2022-03-01,宜蘭縣,121.857372,24.596736,467060,3,1012.8,1015.9,17.6,16.8,95,3.0,250,5.3,240,0.0,0.0,...,0.0,...,...,...
2022-03-01,宜蘭縣,121.857372,24.596736,467060,4,1013.0,1016.1,17.7,16.9,95,3.2,240,5.4,230,0.0,0.0,...,0.0,...,...,...
2022-03-01,宜蘭縣,121.857372,24.596736,467060,5,1013.4,1016.5,17.7,16.9,95,3.1,240,5.3,240,0.0,0.0,...,0.0,...,...,...
2022-03-01,宜蘭縣,121.857372,24.596736,467060,6,1014.1,1017.2,17.7,17.1,96,2.9,250,5.1,250,0.0,0.0,0.0,0.0,...,...,...
2022-03-01,宜蘭縣,121.857372,24.596736,467060,7,1015.0,1018.1,18.2,16.5,90,3.2,250,5.3,230,0.0,0.0,0.3,0.05,...,...,...
2022-03-01,宜蘭縣,121.857372,24.596736,467060,8,1015.0,1018.0,20.8,16.6,77,2.6,250,4.8,250,0.0,0.0,0.8,0.7,20.0,...,1.0
2022-03-01,宜蘭縣,121.857372,24.596736,467060,9,1015.2,1018.2,24.5,15.1,56,0.1,0,4.1,230,0.0,0.0,1.0,1.5,20.0,...,2.0
2022-03-01,宜蘭縣,121.857372,24.596736,467060,10,1014.8,1017.8,25.8,15.8,54,0.8,80,3.2,80,0.0,0.0,1.0,2.08,...,...,...
2022-03-01,宜蘭縣,121.857372,24.596736,467060,11,1014.5,1017.5,26.7,14.5,47,2.1,60,4.8,50,0.0,0.0,0.9,2.57,20.0,...,3.0
2022-03-01,宜蘭縣,121.857372,24.596736,467060,12,1013.7,1016.7,25.1,15.4,55,3.7,90,5.5,100,0.0,0.0,1.0,2.87,...,...,...
2022-03-01,宜蘭縣,121.857372,24.596736,467060,13,1013.0,1016.0,25.1,19.0,69,3.5,110,6.5,110,0.0,0.0,1.0,2.82,...,...,...
2022-03-01,宜蘭縣,121.857372,24.596736,467060,14,1012.0,1015.0,24.5,18.7,70,4.4,120,6.8,120,0.0,0.0,1.0,2.89,30.0,...,3.0
2022-03-01,宜蘭縣,121.857372,24.596736,467060,15,1011.8,1014.8,25.1,19.2,70,4.1,120,7.0,120,0.0,0.0,0.9,2.01,...,...,...
2022-03-01,宜蘭縣,121.857372,24.596736,467060,16,1012.0,1015.0,24.0,20.9,83,4.1,120,8.1,120,0.0,0.0,0.4,0.99,...,...,...
2022-03-01,宜蘭縣,121.857372,24.596736,467060,17,1012.4,1015.4,23.5,20.6,84,3.7,150,7.7,130,0.0,0.0,0.4,0.59,30.0,...,3.0
