Date,City,Lon,Lat,Station,ObsTime,StnPres,SeaPres,Temperature,Td dew point,RH,WS,WD,WSGust,WDGust,Precp,PrecpHour,SunShine,GloblRad,Visb,UVI,Cloud Amount
2022-03-01,金門縣,118.289281,24.407306,467110,1,1014.2,1018.5,14.5,12.5,88,2.2,350,3.2,330,0.0,0.0,...,0.0,...,0,...
2022-03-01,金門縣,118.289281,24.407306,467110,2,1014.0,1018.3,15.2,12.9,86,3.6,360,4.6,340,0.0,0.0,...,0.0,...,0,...
2022-03-01,金門縣,118.289281,24.407306,467110,3,1013.5,1017.8,15.1,13.3,89,3.4,350,4.5,350,0.0,0.0,...,0.0,...,0,...
2022-03-01,金門縣,118.289281,24.407306,467110,4,1013.6,1017.9,15.3,13.5,89,2.8,350,4.3,350,0.0,0.0,...,0.0,...,0,...
2022-03-01,金門縣,118.289281,24.407306,467110,5,1013.9,1018.2,14.6,13.2,91,3.2,20,4.2,30,0.0,0.0,...,0.0,...,0,...
2022-03-01,金門縣,118.289281,24.407306,467110,6,1014.5,1018.8,15.1,14.0,93,2.4,360,3.9,20,0.0,0.0,0.0,0.0,...,0,...
2022-03-01,金門縣,118.289281,24.407306,467110,7,1015.1,1019.4,16.3,14.5,89,2.3,320,4.4,300,0.0,0.0,0.0,0.03,...,0,...
2022-03-01,金門縣,118.289281,24.407306,467110,8,1015.6,1019.9,17.3,14.8,85,2.0,290,3.5,280,0.0,0.0,0.7,0.44,5.0,0,2.0
2022-03-01,金門縣,118.289281,24.407306,467110,9,1016.0,1020.3,18.4,14.9,80,2.0,290,3.4,300,0.0,0.0,0.9,1.32,5.0,2,4.0
2022-03-01,金門縣,118.289281,24.407306,467110,10,1016.0,1020.3,20.1,15.3,74,3.4,280,4.8,280,0.0,0.0,0.9,1.87,...,4,...
2022-03-01,金門縣,118.289281,24.407306,467110,11,1015.6,1019.9,18.8,14.7,77,2.5,260,4.2,280,0.0,0.0,1.0,2.66,6.0,7,1.0
2022-03-01,金門縣,118.289281,24.407306,467110,12,1014.8,1019.1,20.1,14.7,71,1.9,210,3.7,190,0.0,0.0,1.0,3.01,...,9,...
2022-03-01,金門縣,118.289281,24.407306,467110,13,1013.6,1017.8,20.6,15.2,71,2.3,200,4.7,210,0.0,0.0,1.0,3.12,...,10,...
2022-03-01,金門縣,118.289281,24.407306,467110,14,1012.4,1016.6,21.9,15.7,68,2.1,170,5.1,200,0.0,0.0,1.0,2.94,10.0,8,0.0
2022-03-01,金門縣,118.289281,24.407306,467110,15,1011.9,1016.1,20.0,15.4,75,3.6,180,5.8,190,0.0,0.0,1.0,2.47,...,6,...
2022-03-01,金門縣,118.289281,24.407306,467110,16,1011.6,1015.8,20.6,15.8,74,2.0,190,6.0,180,0.0,0.0,1.0,1.79,...,3,...
2022-03-01,金門縣,118.289281,24.407306,467110,17,1011.8,1016.1,18.2,14.9,81,2.1,200,5.0,210,0.0,0.0,1.0,1.01,6.0,1,0.0
2022-03-01,金門縣,118.289281,24.407306,467110,18,1012.0,1016.3,16.6,14.4,87,2.9,200,4.9,210,0.0,0.0,0.8,0.27,...,0,...
2022-03-01,金門縣,118.289281,24.407306,467110,19,1012.3,1016.6,15.9,14.6,92,2.7,200,5.4,180,0.0,0.0,0.0,0.0,...,0,...
2022-03-01,金門縣,118.289281,24.407306,467110,20,1013.3,1017.6,15.5,14.5,94,2.4,220,4.4,210,0.0,0.0,...,0.0,...,0,...
2022-03-01,金門縣,118.289281,24.407306,467110,21,1013.9,1018.2,15.8,14.8,94,3.1,240,4.0,230,0.0,0.0,...,0.0,...,0,...
2022-03-01,金門縣,118.289281,24.407306,467110,22,1014.2,1018.5,17.5,16.0,91,2.7,220,6.4,210,0.0,0.0,...,0.0,...,0,...
2022-03-01,金門縣,118.289281,24.407306,467110,23,1014.4,1018.7,17.4,16.3,93,2.1,210,4.1,220,0.0,0.0,...,0.0,...,0,...
2022-03-01,金門縣,118.289281,24.407306,467110,24,1014.7,1019.0,17.7,16.6,93,2.0,180,3.7,190,0.0,0.0,...,0.0,...,0,...
2022-03-02,金門縣,118.289281,24.407306,467110,1,1015.0,1019.3,15.9,14.6,92,5.6,100,9.3,110,0.0,0.0,...,0.0,...,0,...
2022-03-02,金門縣,118.289281,24.407306,467110,2,1015.0,1019.3,15.8,14.3,91,3.9,80,11.2,100,0.0,0.0,...,0.0,...,0,...
2022-03-02,金門縣,118.289281,24.407306,467110,3,1014.7,1019.0,16.2,14.6,90,5.3,80,9.8,70,T,0.1,...,0.0,...,0,...
2022-03-02,金門縣,118.289281,24.407306,467110,4,1014.6,1018.9,16.6,14.8,89,3.9,60,8.6,80,0.0,0.0,...,0.0,...,0,...
2022-03-02,金門縣,118.289281,24.407306,467110,5,1015.0,1019.3,16.6,15.0,90,3.1,30,7.1,70,0.0,0.0,...,0.0,...,0,...
2022-03-02,金門縣,118.289281,24.407306,467110,6,1015.6,1019.9,16.8,15.5,92,2.8,40,6.1,60,0.0,0.0,0.0,0.0,...,0,...
2022-03-02,金門縣,118.289281,24.407306,467110,7,1016.3,1020.6,17.0,15.4,90,3.0,60,6.1,100,T,0.1,0.0,0.01,...,0,...
2022-03-02,金門縣,118.289281,24.407306,467110,8,1016.8,1021.1,17.8,15.3,85,3.8,60,7.4,40,0.0,0.0,0.0,0.12,4.0,0,10.0
2022-03-02,金門縣,118.289281,24.407306,467110,9,1017.4,1021.7,18.2,14.9,81,4.9,60,9.3,80,0.0,0.0,0.0,0.33,6.0,1,10.0
2022-03-02,金門縣,118.289281,24.407306,467110,10,1017.4,1021.7,19.0,14.5,75,5.5,70,11.4,70,0.0,0.0,0.0,0.78,...,2,...
2022-03-02,金門縣,118.289281,24.407306,467110,11,1017.1,1021.4,18.7,13.6,72,6.2,70,12.8,80,0.0,0.0,0.0,0.79,6.0,2,10.0
2022-03-02,金門縣,118.289281,24.407306,467110,12,1016.4,1020.7,19.2,13.2,68,5.9,70,12.9,70,0.0,0.0,0.0,1.05,...,3,...
2022-03-02,金門縣,118.289281,24.407306,467110,13,1016.0,1020.3,18.9,12.4,66,4.8,60,13.2,60,0.0,0.0,0.0,0.93,...,3,...
2022-03-02,金門縣,118.289281,24.407306,467110,14,1015.2,1019.5,19.4,12.7,65,5.2,70,9.8,40,0.0,0.0,0.0,0.97,8.0,3,10.0
2022-03-02,金門縣,118.289281,24.407306,467110,15,1014.5,1018.8,20.1,13.1,64,6.2,80,11.7,60,0.0,0.0,0.1,1.29,...,3,...
2022-03-02,金門縣,118.289281,24.407306,467110,16,1014.3,1018.6,19.7,13.4,67,6.5,70,11.5,50,0.0,0.0,0.3,1.17,...,2,...
2022-03-02,金門縣,118.289281,24.407306,467110,17,1014.5,1018.8,18.9,13.3,70,5.4,70,13.2,60,0.0,0.0,1.0,0.86,8.0,1,2.0
2022-03-02,金門縣,118.289281,24.407306,467110,18,1014.6,1018.9,17.5,13.0,75,5.7,70,12.3,90,0.0,0.0,0.4,0.23,...,0,...
2022-03-02,金門縣,118.289281,24.407306,467110,19,1015.1,1019.4,16.7,12.7,77,5.3,70,10.2,80,0.0,0.0,0.0,0.0,...,0,...
2022-03-02,金門縣,118.289281,24.407306,467110,20,1015.8,1020.1,15.9,12.7,81,5.1,70,10.1,60,0.0,0.0,...,0.0,...,0,...
2022-03-02,金門縣,118.289281,24.407306,467110,21,1016.3,1020.6,15.7,12.6,82,5.9,70,11.5,60,0.0,0.0,...,0.0,...,0,...
2022-03-02,金門縣,118.289281,24.407306,467110,22,1016.5,1020.8,15.3,12.4,83,6.0,70,12.0,50,0.0,0.0,...,0.0,...,0,...
2022-03-02,金門縣,118.289281,24.407306,467110,23,1016.5,1020.8,15.2,12.5,84,6.2,70,11.9,90,0.0,0.0,...,0.0,...,0,...
2022-03-02,金門縣,118.289281,24.407306,467110,24,1016.6,1020.9,14.7,11.9,83,4.6,60,11.5,50,0.0,0.0,...,0.0,...,0,...
2022-03-03,金門縣,118.289281,24.407306,467110,1,1016.2,1020.5,14.8,11.6,81,5.4,60,10.3,60,0.0,0.0,...,0.0,...,0,...
2022-03-03,金門縣,118.289281,24.407306,467110,2,1015.8,1020.1,14.7,11.3,80,4.2,60,9.9,60,0.0,0.0,...,0.0,...,0,...
2022-03-03,金門縣,118.289281,24.407306,467110,3,1015.8,1020.1,14.7,11.9,83,3.4,30,8.4,60,0.0,0.0,...,0.0,...,0,...
2022-03-03,金門縣,118.289281,24.407306,467110,4,1015.7,1020.0,15.2,12.3,83,2.8,30,6.3,20,0.0,0.0,...,0.0,...,0,...
2022-03-03,金門縣,118.289281,24.407306,467110,5,1016.1,1020.4,15.4,12.0,80,2.8,50,6.2,30,0.0,0.0,...,0.0,...,0,...
2022-03-03,金門縣,118.289281,24.407306,467110,6,1016.9,1021.2,15.4,12.4,82,2.2,50,4.9,40,0.0,0.0,0.0,0.0,...,0,...
